Real,Simple,Expansiva,Deslizante
55676.07,43188.987868807315,43387.03260082841,43387.03260082841
57425.55,41042.56226002216,40987.64138426185,40987.64138426185
49824.18,39509.601791484354,51799.574697659016,51799.574697659016
53156.97,31368.711753171683,38927.31932821989,38927.31932821989
37111.05,16107.805438210964,17297.019344676733,17297.019344676733
9330.42,4343.091797351539,3771.8535204553605,3771.8535204553605
8052.54,4368.675196306259,6458.798320623189,6458.798320623189
21983.89,15741.9598904863,19623.611745987535,19623.611745987535
31665.61,28937.441266404985,32928.23538577795,32928.23538577795
34960.34,37026.62324808955,40464.21622380256,40464.21622380256
40845.95,43348.046536115406,46949.27524038673,46949.27524038673
57244.91,45762.73192952394,49975.063917815685,49975.063917815685
57923.62,45295.16929992199,49304.3044678545,49304.3044678545
57449.69,42983.45234767437,48058.452322849036,48058.452322849036
57007.99,38839.29001361847,48339.578820970055,48339.578820970055
16272.62,29717.598655033707,37754.25249112248,37754.25249112248
0.0,14836.416687562465,19655.55855292618,19655.55855292618
0.0,3307.689918421805,5337.73428977698,5337.73428977698
3599.37,1249.6284134989976,3133.59323147282,3133.59323147282
11122.3,10179.183539872169,12384.404703587294,12384.404703587294
8488.87,23108.07714785099,25076.07841196418,25076.07841196418
18725.2,32464.964233503342,34562.454651181695,34562.454651181695
29549.32,40065.324949922564,41923.523054937126,41923.523054937126
